names,dates,latitude,longitude,categorical,quant1,quant2,quant3
b'Wessie',1474293757,29.00848694,-161.9086332,Category06,0.014333142,-28.49984724,8790.177457
b'Kechelle',1451612356,-18.87709545,43.64682909,Category07,0.91007382,26.42335666,8937.236989
b'Niti',1478589284,-3.845103928,-77.56650183,Category08,1.66687116,-23.02095412,3872.152151
b'Suraj',1453235970,29.95867418,-131.0206801,Category06,2.503916033,11.18687462,9174.823993
b'Amrom',1456664036,-8.102485977,-143.1545285,Category10,0.8505894,-19.20718431,690.9707285
b'Zikomo',1457881744,45.01962502,-84.77211696,Category09,1.470552901,15.6528449,5574.976084
b'Adrie',1473122151,56.68282963,-82.39333429,Category02,0.064727479,-5.730887859,3251.190496
b'Mckennah',1482876271,-72.38824231,169.1644437,Category05,0.256206347,18.0405769,9676.419571
b'Shawnea',1468070372,-3.704121117,4.162002341,Category07,0.831934169,-13.1042272,6766.994696
b'Arney',1468612357,80.42263935,87.12371565,Category02,2.623990223,24.75788481,8162.841603
b'Johntay',1455721378,9.219347055,84.91407715,Category07,0.088016978,22.22538164,8946.119878
b'Kayto',1468476884,42.25556191,-164.4110336,Category02,1.025980443,-11.2969913,8149.86687
b'Joelee',1479646511,55.61302254,32.14501102,Category06,1.812418204,-10.59695738,9688.366838
b'Aravind',1467917286,56.10468905,-132.1409031,Category05,3.299301028,-14.13949827,7404.479479
b'Jekari',1482213529,66.74725739,-84.76219232,Category09,2.665117024,-16.72604348,9979.298198
b'Trany',1470752066,0.540195842,22.22128103,Category10,2.221284864,-0.056482057,9556.012126
b'Katrice',1481848971,65.74579711,-143.6122734,Category00,2.687626462,29.64570649,1351.191973
b'Heathyr',1464205496,81.08556493,13.15629467,Category03,1.734151673,24.36310712,5171.277668
b'Deniyah',1453723805,12.63425773,107.32919,Category10,0.442129214,19.71501397,9441.851604
b'Aaliyaha',1468911366,-69.39901433,159.1650735,Category00,0.778717845,-5.86964535,1260.541837
b'Arisela',1476545276,30.75612253,8.358308839,Category08,0.014542465,8.527032327,8936.394715
b'Tuba',1472975806,-42.67570938,-168.5790387,Category10,0.583273118,25.4673072,5886.419909
b'Taniesha',1470687166,83.77038405,166.3576779,Category05,1.947918044,-5.265621451,9925.253402
b'Urmi',1470964135,-45.7577733,94.58049822,Category03,1.521370221,11.53191124,7356.922672
b'Destynee',1455840772,20.67543725,-51.93403687,Category05,0.338914111,6.15739913,3105.576437
b'Tanvee',1462382366,-58.53824273,-16.17322378,Category09,1.588935442,7.318434194,2900.194912
b'Anudeep',1451653816,-16.24172431,-76.55174141,Category09,0.787881367,11.35987785,4333.881122
b'Juelle',1481307240,-14.15736635,98.77971373,Category10,0.957370885,10.31077913,7937.075419
b'Khamir',1479024901,0.690269875,-122.5246892,Category02,2.937685745,-24.18511626,2253.425533
b'Davindra',1468456296,-69.82091464,-144.4477995,Category07,3.17075075,-9.633863068,4801.076178
b'Kaimarie',1459740183,-44.77416554,7.227585487,Category05,0.902790481,17.30739412,3766.411012
b'Kardale',1460831943,-88.46824641,104.0746497,Category03,3.195575357,-13.54551451,6401.735957
b'Daizon',1469288502,80.1121122,114.8324178,Category00,3.187199721,-20.25698108,1656.315581
b'Fanita',1457854043,-20.5783434,-143.1476669,Category08,2.683191224,4.447013744,6474.466159
b'Jurell',1468913561,-62.87020458,170.5358981,Category04,0.084436218,-23.78142192,5447.572689
b'Dahianna',1461713157,58.73810184,31.63528371,Category05,2.240882582,-13.39792845,5760.30079
b'Cleman',1466665492,10.82790444,-164.4647103,Category03,3.444044013,-17.49210434,6541.325657
b'Kemarrion',1465820164,-35.52143572,113.2918692,Category08,0.03602085,-9.858132441,1329.307672
b'Leanora',1464147401,82.93145335,-87.17761315,Category03,0.008817894,6.829096669,1186.5105
b'Subin',1455106058,-71.06111134,150.8415473,Category07,2.902524426,1.110909111,1071.057627
b'Florene',1453620126,17.30296007,20.27701541,Category02,1.317456347,-13.6668069,8852.223059
b'Aurelie',1466878655,87.51738475,-2.617589844,Category10,0.958361974,14.75997288,6671.806913
b'Lafran',1467768832,-71.17507029,20.87954128,Category10,2.055994644,22.67709092,2593.590344
b'Waldena',1470046426,87.58936085,-11.76363412,Category08,0.124452307,-28.89222621,2886.419542
b'Alyda',1480886951,-89.68127848,171.4746458,Category08,1.321259696,-15.62018917,8934.288836
b'Jenesi',1459213927,31.36279299,115.7947767,Category00,2.751229802,-3.85518477,1953.359333
b'Marshe',1456621644,37.33284326,-77.77500285,Category03,0.836574308,26.57857318,6488.184627
b'Ponda',1463260861,36.1045027,100.6413876,Category10,3.127706834,-6.819183422,37.23642098
b'Alesander',1471427030,41.87581715,-17.69355279,Category03,0.092392077,10.70139159,8515.467319
b'Deshaune',1474684059,34.53263638,128.6475736,Category03,3.301804641,-4.817548275,1827.147946
b'Nyzae',1464794196,-48.68875713,25.23730631,Category03,2.509516396,26.76146337,7401.781128
b'Schon',1457477305,-20.17012182,-176.6000943,Category02,3.044420176,29.25808289,861.0711226
b'Perrie',1456203461,-30.20960017,-53.89903326,Category00,0.452994538,6.157358765,1945.429397
b'Jemel',1455057253,-41.30757173,100.8167406,Category04,1.549468083,11.31326417,5200.892626
b'Aslyn',1462647413,-48.82693239,84.19554032,Category06,0.828848935,11.01566663,6237.928841
b'Gwynetta',1476145115,18.38127942,67.17310814,Category10,2.376999866,-19.41279364,638.8412282
b'Dasheika',1481353220,-70.42383755,143.6496946,Category00,1.748996988,-1.866110755,4053.587768
b'Gianne',1467334430,89.11999165,-103.7790573,Category10,3.223882386,27.28184166,1709.540894
b'Lin',1479210932,-86.55182702,-145.9519616,Category03,0.08691869,16.9095697,8054.486673
b'Hardwick',1467573038,72.53387173,153.0442441,Category04,2.696952713,13.40809687,9218.617112
b'Yonna',1466638804,-47.73239473,75.65890968,Category02,1.393956673,-13.50269851,6295.493738
b'Adhya',1456272337,17.70428487,-161.0528539,Category00,1.400412611,8.607821927,6264.063057
b'Vona',1453614499,-3.893247351,-7.30243646,Category05,1.089221706,22.21033556,603.4987454
b'Jevonte',1458316545,26.40496906,-71.70100894,Category08,1.419340389,-6.165059896,2152.630579
b'Shalva',1483043143,56.91131317,-175.6665228,Category09,3.22718101,-18.2432294,8504.149178
b'Vonette',1452727321,65.21143759,-55.03292302,Category05,1.523056602,-17.60178752,9097.935266
b'Gerald',1478242961,-69.2930893,43.84331494,Category10,0.766202068,27.59259873,5798.282957
b'Azyon',1461342103,-72.96806209,143.97617,Category00,0.275488242,28.26137606,2058.81964
b'Sheree',1462104976,-84.87030444,-124.9579768,Category10,1.738246807,-17.06173874,9275.139396
b'Dearra',1452314418,-12.48440071,-178.276918,Category03,3.243587311,-27.62996419,1878.107141
b'Bonham',1463596188,-2.219916756,21.14176518,Category05,1.013882091,27.15306515,8316.996408
b'Emilynn',1476803861,32.87092591,-92.367257,Category00,0.687446439,-6.452289145,475.7144461
b'Susel',1481181110,-21.66352898,27.94412991,Category04,3.055492871,12.99212977,5288.678251
b'Osualdo',1473397125,47.21736462,61.98598445,Category04,1.744552064,17.96193154,9982.715724
b'Gamya',1456982398,-3.441477695,-92.39061015,Category04,1.832843035,-13.14912097,7348.114576
b'Cotis',1483111334,41.97905127,105.8947445,Category08,0.147561137,-24.59229699,517.9233536
b'Damyiah',1471535770,-48.672539,143.0787218,Category10,3.036003118,-7.917544567,7446.987372
b'Adreinne',1460323789,18.16270877,-172.8878255,Category04,0.554578044,12.08080009,8446.307165
b'Malcum',1455217356,6.288406983,74.79176533,Category03,2.392040051,-25.18549857,8355.356151
b'Dellanie',1465161171,76.88233305,19.8341795,Category04,2.398327073,-27.95555697,3569.826108
b'Karmari',1460350126,-22.96054806,-71.61219337,Category04,1.328271715,-8.726354252,6010.268347
b'Esnaider',1456843395,-83.76760792,-5.638312035,Category05,1.775341518,-0.185132454,4825.863816
b'Maudestine',1458757672,-20.99102892,22.67282428,Category00,0.390367441,-25.20303903,3077.765422
b'Jaycii',1469419108,-32.76821434,-119.6264053,Category04,3.149932701,8.087631677,6599.843174
b'Korra',1455596840,-84.95121159,62.86911962,Category09,3.3290754,1.210448849,9200.901986
b'Wilian',1459381658,-15.07238364,141.3896908,Category02,1.74158468,-20.33505089,3690.962781
b'Raphiel',1461790040,-1.480320961,70.26109792,Category00,2.063750969,12.83593138,5890.942165
b'Druzella',1457500546,45.29351174,92.44468456,Category04,1.824653455,7.312806924,9590.665396
b'Eoghan',1461081921,-78.13392937,54.53662093,Category02,2.698448876,21.62177022,8198.647629
b'Daylen',1471071166,46.95092605,107.2208623,Category08,3.208862138,12.7106459,8522.822831
b'Kyela',1475105699,6.294402861,53.32208425,Category07,1.477155525,4.67821384,9979.560641
b'Tamura',1465168892,45.46831306,74.41824926,Category02,0.047473609,3.674066224,6007.559323
b'Greyton',1460300468,-57.40991658,-175.7583936,Category04,0.22191405,23.44225071,5691.063211
b'Nekeya',1456915877,0.914059334,138.9318485,Category02,2.977226445,-2.955060236,2268.747447
b'Makynzee',1480847850,-0.995693667,-117.8831909,Category04,1.194930778,-23.99024418,7256.958868
b'Robynn',1455638779,-39.28917812,79.50725838,Category04,2.869307372,-15.68686764,6501.544729
b'Jaquaisha',1473474797,73.62193648,32.65825115,Category07,3.264623016,18.33264672,9329.537693
b'Tomes',1477253973,34.06657711,25.35113254,Category03,2.348613045,-17.56420655,3138.220815
b'Miamor',1463758087,57.84748639,167.1030545,Category00,2.649174802,29.66157739,1341.39425
b'Herminio',1451940948,-80.48393002,-94.67229487,Category10,2.734201484,-19.16958008,6147.355794
b'Chitina',1474952675,-12.26536933,-27.63943888,Category10,1.073653405,7.435506751,399.2726819
b'Jadenn',1460643998,-52.54919193,95.49770858,Category02,3.13199975,9.000892368,4534.387662
b'Jasimen',1474312212,77.7176179,169.3685397,Category04,1.845933308,10.84494403,8548.368102
b'Sherrel',1452043942,-16.24755651,-142.5882351,Category08,1.153536247,0.87316048,854.089968
b'Keyonne',1468786156,46.04109561,81.4766888,Category09,2.038997139,15.31463093,7412.982585
b'Sartaj',1454784798,-48.35352887,-47.26308111,Category07,2.338280521,-8.613407612,8203.274822
b'Alexxa',1473688863,-88.84525316,43.74750616,Category06,3.239402529,5.131669,5872.870989
b'Ferril',1475301418,-50.92471719,18.35045056,Category04,1.101892509,-20.17805866,5428.235756
b'Anges',1475170070,4.423631888,161.2819228,Category07,2.488153743,-20.79963841,4758.424625
b'Darnley',1458757129,-61.15522372,8.94981401,Category02,0.648817818,12.343135,5092.866197
b'Mudassir',1467013293,-15.41844619,-167.4402898,Category03,0.439140897,5.057763033,2540.306908
b'Kenwood',1460079373,-77.04402087,-147.974617,Category05,0.699590148,21.31120012,1017.143602
b'Tieraney',1471580129,-44.65226754,38.61970089,Category06,0.928039898,-15.31534963,9999.019551
b'Evyan',1460576043,-26.50072269,-26.21552401,Category03,3.462010273,24.91873512,9791.173873
b'Eulices',1451689382,-77.74356813,-6.980969435,Category05,0.694832797,10.61119394,6730.967801
b'Francita',1457345964,-10.82090891,-83.89218523,Category04,0.772345726,-24.77602247,4717.363387
b'Demetris',1455679977,-40.31811053,103.1795302,Category04,3.280375324,-7.582407319,925.5099833
b'Jermail',1456337906,-70.46541027,-163.9032652,Category00,2.831180763,14.23811554,565.2178991
b'Stjulian',1469217929,27.48083273,-122.9829501,Category06,0.107532665,3.923876525,8898.72795
b'Camy',1479798206,-16.89533928,19.05577883,Category00,2.238018183,15.121151,1113.473711
b'Sheiva',1461604764,-52.76015856,107.4050121,Category09,2.360264457,-12.01604992,1495.056077
b'Veniece',1468882721,5.794995333,-103.8071178,Category00,0.633198474,22.63700362,709.4397028
b'Brianne',1475130057,-79.44533909,-111.439543,Category02,0.661487854,20.10057022,8488.024714
b'Makil',1458921154,-66.16010434,-150.4810736,Category07,1.489802765,11.26735782,5660.176689
b'Meritxell',1462830239,74.97130876,132.6220651,Category02,2.474307734,9.708286394,1297.35006
b'Hubie',1463504903,82.6067773,-2.730342794,Category03,1.096745636,14.18097307,5979.157
b'Chelyn',1466091319,35.66320762,-37.82828417,Category05,1.503324622,-28.66833551,995.1693189
b'Laneya',1467578557,-57.93954414,43.09311541,Category05,2.875426427,-1.322866865,1493.969514
b'Dnijah',1469329489,15.41927538,-140.3693214,Category02,1.116168704,-17.11027252,7170.816797
b'Amerion',1464770298,34.41587818,-22.01710926,Category03,2.066220289,6.972840427,5810.891524
b'Lachlan',1461950867,-43.56103755,140.5421414,Category08,0.050645182,11.34562936,4388.720272
b'Robi',1457290061,48.90682063,-118.2724768,Category00,1.046399903,16.1339823,3243.467365
b'Anatoli',1475340083,-2.118600597,35.29159104,Category09,1.951747821,10.12370582,7257.080878
b'Civona',1461836308,12.6538866,-94.48426801,Category10,1.850169448,-17.88045954,7561.303474
b'Eriny',1466559448,31.18582284,31.27660096,Category05,2.478336447,20.80564918,8136.037998
b'Daleah',1462534593,47.6355584,-126.5293888,Category07,0.303138224,-6.245928453,4495.291646
b'Sibel',1454913171,46.66250934,-117.6768041,Category06,1.139037859,10.63322602,8602.241961
b'Jaece',1468425892,77.38604142,-132.6697862,Category00,2.668572559,19.42638519,7654.726084
b'Shanleigh',1474066515,68.61975931,-109.0386666,Category03,1.223699509,9.848016782,3628.344796
b'Teion',1466406251,-8.523468016,-114.1355039,Category10,0.882338373,6.327973444,3698.43655
b'Seretta',1464810865,83.89019662,41.33766492,Category00,3.129997942,-14.49239975,9168.079388
b'Para',1456598264,58.38868712,121.9730977,Category07,3.055142294,-11.21523693,7294.266206
b'Sidh',1469864990,64.68436171,-55.05428133,Category01,0.783441913,-24.29396232,544.7644434
b'Shelica',1475653133,-19.66883668,-38.81868762,Category05,2.78804866,24.85866808,3017.504554
b'Aaronette',1463937451,-13.3842349,-114.9032132,Category09,1.273803546,5.176800234,7771.136099
b'Jdan',1458386999,-69.21091422,125.5841263,Category05,0.203128792,24.84664314,3367.199798
b'Sasharae',1464124025,53.47557744,-20.0953855,Category00,1.18220693,25.90907307,3253.316764
b'Samanvitha',1466019795,23.63062203,-16.07206899,Category09,2.837293524,16.93524255,4281.023563
b'Erka',1469435725,-29.3869798,73.82771971,Category07,2.598303739,-13.29971764,8270.354167
b'Ashkon',1469128901,18.36773765,-127.5533876,Category09,2.888893181,-27.33895678,2016.207498
b'Marquis',1453399556,25.84508596,2.326497765,Category04,2.184734584,-21.5349852,5294.030182
b'Aleshanee',1479169909,8.445514878,150.1349446,Category03,2.63235851,-14.9845265,5658.284533
b'Jamesmichael',1463493730,21.33655341,123.9413549,Category00,2.599703874,-25.0611264,4514.189871
b'Temon',1469437887,86.52269034,-103.7391589,Category01,2.7152758,28.41279926,4976.183685
b'Joleene',1479055658,-64.06681279,134.1529143,Category00,2.164557207,1.555852595,6012.842713
b'Chrissette',1455173650,-17.46819565,89.28227426,Category06,2.512151713,10.14219004,587.3229237
b'Barbetta',1480026799,-57.95068316,-140.7454241,Category05,2.888894795,-19.57549876,7223.644249
b'Izona',1460752298,-65.03437295,1.698845431,Category05,2.884811356,23.70575419,1645.348024
b'Soni',1454359196,67.22228082,-103.1645505,Category04,2.267835047,11.29667318,6938.083325
b'Lakenia',1452709292,-76.09071737,0.094604649,Category07,2.013967057,21.85913284,9895.330321
b'Haliyah',1463858043,14.21691503,3.599975678,Category01,0.820469916,-24.00398186,4384.67412
b'Vice',1463115039,72.40825641,-165.1133396,Category06,2.483087615,19.86526799,2582.804976
b'Ja',1455811273,64.0504426,112.6242725,Category06,0.178497434,22.93311264,8936.011609
b'Morgane',1452123952,47.44314473,81.934238,Category05,1.889946493,2.652851871,6649.379003
b'Genever',1451824371,64.08430034,-135.7512447,Category07,1.082005363,-26.94363093,2932.646918
b'Canio',1455721095,-54.28845065,34.94960576,Category07,1.156668787,27.67991288,726.2969288
b'Jouri',1463301818,-76.20998727,-110.1871648,Category08,0.646903959,9.486635334,5165.153934
b'Nooreen',1467929885,0.02559484,169.3897774,Category06,2.804317527,-28.71938396,478.6810073
b'Trayon',1482311104,-83.77229747,151.9666597,Category05,2.421839598,-25.30276165,1615.948766
b'Nirva',1456740903,51.91516791,17.8708804,Category11,2.268724439,-22.94142038,2873.814564
